年度,鄉鎮,段名,地號,公告土地現值
112,2,18,1670001,6039
112,2,18,1670002,3950
112,2,18,1680000,4600
112,2,18,1680001,3950
112,2,18,1690000,4300
112,2,18,1700000,4300
112,2,18,1710000,4300
112,2,18,1720000,4300
112,2,18,1730000,4300
112,2,18,1740000,4300
112,2,18,1750000,4300
112,2,18,1760000,4300
112,2,18,1770000,4300
112,2,18,1780000,4300
112,2,18,1790000,4300
112,2,18,1800000,4300
112,2,18,1810000,4300
112,2,18,1810001,4300
112,2,18,1820000,4300
112,2,18,1830000,4300
112,2,18,1840000,4300
112,2,18,1850000,4300
112,2,18,1860000,4300
112,2,18,1870000,4300
112,2,18,1870001,4300
112,2,18,1880000,4300
112,2,18,1890000,4300
112,2,18,1900000,4300
112,2,18,1910000,4300
112,2,18,1920000,4300
112,2,18,1930000,4600
112,2,18,1930001,3950
112,2,18,1940000,4600
112,2,18,1940001,3950
112,2,18,1950000,4300
112,2,18,1960000,4300
112,2,18,1970000,4300
112,2,18,1980000,4300
112,2,18,1990000,4300
112,2,18,2000000,4300
112,2,18,2010000,4300
112,2,18,2020000,4300
112,2,18,2030000,4300
112,2,18,2040000,4300
112,2,18,2050000,4300
112,2,18,2060000,4300
112,2,18,2070000,4300
112,2,18,2080000,4300
112,2,18,2090000,4300
112,2,18,2100000,4300
112,2,18,2110000,4300
112,2,18,2120000,4300
112,2,18,2130000,4300
112,2,18,2140000,4300
112,2,18,2150000,4300
112,2,18,2160000,4300
112,2,18,2170000,4300
112,2,18,2180000,4300
112,2,18,2190000,4600
112,2,18,2190001,3950
112,2,18,2200000,4600
112,2,18,2200001,3950
112,2,18,2210000,4300
112,2,18,2220000,4300
112,2,18,2230000,4300
112,2,18,2240000,4300
112,2,18,2250000,4300
112,2,18,2260000,4300
112,2,18,2270000,4300
112,2,18,2280000,4300
112,2,18,2290000,4300
112,2,18,2300000,4300
112,2,18,2310000,4300
112,2,18,2320000,4300
112,2,18,2330000,4300
112,2,18,2340000,4300
112,2,18,2340001,4300
112,2,18,2350000,4300
112,2,18,2350001,4300
112,2,18,2360000,4300
112,2,18,2370000,4300
112,2,18,2370001,4300
112,2,18,2380000,4300
112,2,18,2390000,4300
112,2,18,2400000,4300
112,2,18,2410000,4300
112,2,18,2420000,4300
112,2,18,2430000,4300
112,2,18,2440000,4300
112,2,18,2450000,4300
112,2,18,2460000,4300
112,2,18,2470000,4600
112,2,18,2470001,3950
112,2,18,2480000,4600
112,2,18,2480001,4495
112,2,18,2490000,4300
112,2,18,2490001,4300
112,2,18,2500000,4300
112,2,18,2500001,4300
112,2,18,2510000,4300
112,2,18,2510001,4300
112,2,18,2520000,4300
112,2,18,2520001,4300
112,2,18,2530000,4300
112,2,18,2530001,4300
112,2,18,2540000,4300
112,2,18,2540001,4300
112,2,18,2550000,4300
112,2,18,2550001,4300
112,2,18,2560000,4300
112,2,18,2560001,4300
112,2,18,2570000,4300
112,2,18,2570001,4300
112,2,18,2580000,4300
112,2,18,2580001,4300
